
[28.11.2020 01:00:55]: Qiaoli (ZBLF) [airport-zblf-linfen-mottoth]: China, Shanxi
[28.11.2020 01:00:55]: Wuxu (ZGNN) [airport-zgnn-nanning-mottoth]: China, Guangxi
[28.11.2020 01:00:55]: Kalma (ZKWS) [airport-zkwskalma]: North Korea, 
[28.11.2020 01:00:55]: Delingha Airport (ZLDL) [airport-zldl-delingha-mottoth]: China, Qinghai
[28.11.2020 01:00:55]: Zree (ZREE) [airport-zuzh-panzhihua-mottoth]: China, Sichuan
[28.11.2020 01:00:55]: Bao'Anying (ZUZH) [airport-zuzh-panzhihua-mottoth]: China, Sichuan
[28.11.2020 01:00:55]: Fun Fly Zone (FFZK) [airport_ffzk_fun-fly-zone_0235_0.7 - full]: Usa, Wisconsin
[28.11.2020 01:00:55]: Metlakatla Seaplane Base (PAMM) [aka-airport-alaskaspb2]: United States, Alaska
[28.11.2020 01:00:55]: Tamgas Harbor Seaplane Base (Z43) [aka-airport-alaskaspb2]: United States, Alaska
[28.11.2020 01:00:55]: Hyder Seaplane Base (4Z7) [aka-airport-alaskaspb2]: United States, Alaska
[28.11.2020 01:00:55]: Gulkana Airport (PAGK) [aka-airport-pagk-gulkana]: United States, Alaska
[28.11.2020 01:00:55]: Chicken Airport (CKX) [aka-airport-paor-northway]: United States, Alaska
[28.11.2020 01:00:55]: Northway Airport (PAOR) [aka-airport-paor-northway]: United States, Alaska
[28.11.2020 01:00:55]: Fort Yukon (PFYU) [aka-airport-pfyu-fortyukon]: , Alaska
[28.11.2020 01:00:55]: Young Creek (0AK5) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Fireweed Airport (0AK8) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Tatitlek Airport (PAKA) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Sportsmens Paradise (9AK0) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Jakes Bar (AK0) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Swift Creek Airport (AK31) [AKA-airports]: , Alaska
[28.11.2020 01:00:55]: Chisana Airport (CZN) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Duffy's Tavern Airport (DDT) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Glacier Creek Airport (KGZ) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: May Creek (MYK) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Mccarthy Airport (PAMX) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Long Lake Airstrip (4AK3) [AKA-airports]: United States, Alaska
[28.11.2020 01:00:55]: Tok Junction (PFTO) [alaskaadventures-airport-pfto-tok-junction]: , Alaska
[28.11.2020 01:00:55]: Ajaccio Napoléon Bonaparte (LFKJ) [alexvizair-airport-lfkj-ajaccio-napoleon-bonaparte]: France, Corse
[28.11.2020 01:00:55]: Eppley (KOMA) [alp-koma-elevfixes]: , Nebraska
[28.11.2020 01:00:55]: Altay Airport (ZAWW) [Altay]: Altay Prefecture, China
[28.11.2020 01:00:55]: Altisurface Cipieres (LF652) [altisurface-cipieres-lf0652]: France, Provence
[28.11.2020 01:00:55]: Altisurface Isola2000 (LF621) [altisurface-isola2000-lf0621]: France, Paca
[28.11.2020 01:00:55]: Altisurface Valberg (LF654) [altisurface-valberg-lf0654]: France, Paca
[28.11.2020 01:00:55]: NOT FOUND: annexe01. Stopped at: annexe01
[28.11.2020 01:00:55]: Chamois (AO02) [ao02 aerial imagery]: Italy, 
[28.11.2020 01:00:55]: Kuujjuaq (CYVP) [ape42-airport-cyvp-kuujjuaq]: Canada, Québec
[28.11.2020 01:00:55]: Beauvechain (EBBE) [ape42-airport-ebbe-beauvechain]: Belgium, Wallonie
[28.11.2020 01:00:55]: Strausberger Airport (EDAY) [ape42-airport-eday-strausberg]: Germany, 
[28.11.2020 01:00:55]: Wismar (EDCW) [ape42-airport-edcw-wismar]: Germany, 
[28.11.2020 01:00:55]: Mosenberg (EDEM) [ape42-airport-edem-mosenberg]: Germany, Hessen
[28.11.2020 01:00:55]: Tunø (EK76) [ape42-airport-ek76-tunoe]: Denmark, 
[28.11.2020 01:00:55]: Nordholz (ETMN) [ape42-airport-etmn-airport]: Germany, Niedersachsen
[28.11.2020 01:00:55]: NOT FOUND: aquilasim-guitarhotel. Stopped at: guitarhotel
[28.11.2020 01:00:55]: NOT FOUND: aquilasim-nasa. Stopped at: nasa
[28.11.2020 01:00:55]: NOT FOUND: aquilasimulations-perrys-monument. Stopped at: monument
[28.11.2020 01:00:55]: Lea County Regional Airport (KHOB) [archbishopdave-airport-khob-leacounty]: Usa, New Mexico
[28.11.2020 01:00:55]: NOT FOUND: area51_scenery. Stopped at: scenery
[28.11.2020 01:00:55]: Sabiha Gokcen (LTFJ) [argaeus-ltfj-sabihagokcen]: Turkey, 
[28.11.2020 01:00:55]: Istanbul Airport (LTFM) [argaeus-ltfm-istanbul]: Turkey, 
[28.11.2020 01:00:55]: Aerodromo Bell Ville (BEL) [brainshot-sa05-bell-ville]: Argentina, Cordoba
[28.11.2020 01:00:55]: Com Pierrestegui (SAAC) [brainshot-saac-concordia]: Argentina, Entre Rios
[28.11.2020 01:00:55]: Parana - General Urquiza (SAAP) [brainshot-saap-parana]: Argentina, Entre Rios
[28.11.2020 01:00:55]: Rosario Islas Malvinas (SAAR) [brainshot-saar-islas-malvinas]: Argentina, Santa Fe
[28.11.2020 01:00:55]: Sauce Viejo (SAAV) [brainshot-saav-sauce-viejo]: Argentina, Santa Fe
[28.11.2020 01:00:55]: Aeroparque Jorge Newbery (SABE) [brainshot-sabe-aeroparque]: Argentina, Ciudad De Buenos Aires
[28.11.2020 01:00:55]: San Fernando International (SADF) [brainshot-sadf-sanfernando]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: Mariano Moreno (SADJ) [brainshot-sadj-mariano-moreno]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: El Palomar (SADP) [brainshot-sadp-elpalomar]: Argentina, Buenos Aires
[28.11.2020 01:00:55]: El Plumerillo (SAME) [brainshot-same-el-plumerillo]: Argentina, Mendoza
[28.11.2020 01:00:55]: Area De Material Rio Cuarto (SAOC) [brainshot-saoc-area-de-materiales]: Argentina, Cordoba
